Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3DS,2013,Simulation,0.96,2.02,1.89,0.28,5.15
XOne,2014,Shooter,3.21,1.53,0.01,0.38,5.13
WiiU,2014,Fighting,2.59,1.06,0.8,0.57,5.02
PS3,2014,Sports,0.57,3.14,0.04,1.07,4.82
PS4,2016,Sports,0.28,3.75,0.06,0.69,4.77
WiiU,2015,Shooter,1.55,1.15,1.44,0.43,4.57
PS3,2014,Shooter,1.54,1.94,0.19,0.77,4.45
X360,2013,Sports,0.92,2.93,0.01,0.46,4.31
X360,2014,Shooter,2.75,1.18,0,0.37,4.31
XOne,2015,Shooter,2.64,1.2,0.03,0.39,4.26
WiiU,2013,Platform,2.11,1.11,0.72,0.3,4.25
PS4,2016,Shooter,1.3,2.07,0.18,0.65,4.2
XOne,2015,RPG,2.45,1.26,0.01,0.37,4.09
PS4,2014,Shooter,1.12,2.12,0.1,0.69,4.03
3DS,2014,RPG,0.67,0.49,2.62,0.11,3.89
PS4,2015,Sports,2.48,0.65,0.03,0.69,3.85
PS4,2015,RPG,0.96,2,0.21,0.56,3.73
PS3,2013,Shooter,1.3,1.51,0.27,0.61,3.69
PS3,2013,Racing,0.71,1.8,0.4,0.74,3.64
PS4,2013,Shooter,1.78,1.42,0.05,0.38,3.63
PS4,2016,Shooter,1.28,1.61,0.15,0.57,3.61
X360,2013,Shooter,2.14,1.08,0.02,0.29,3.53
XOne,2015,Shooter,1.94,1.22,0.02,0.31,3.49
3DS,2013,RPG,0,0,3.44,0,3.44
PS4,2013,Shooter,1.34,1.54,0.17,0.38,3.43
XOne,2014,Shooter,2.13,0.92,0,0.23,3.28
XOne,2015,Sports,0.88,2.11,0,0.23,3.23
PS4,2015,Sports,2.33,0.3,0,0.59,3.22
3DS,2014,RPG,0.03,0,3.18,0,3.22
WiiU,2015,Platform,1.18,0.87,0.93,0.2,3.18
XOne,2014,Shooter,1.89,0.99,0.03,0.24,3.15
X360,2014,Sports,0.78,2.02,0,0.3,3.11
XOne,2015,Shooter,2.38,0.32,0,0.31,3
3DS,2015,Simulation,0.47,1,1.39,0.12,2.98
PC,2014,Simulation,0.96,1.72,0,0.29,2.97
PS4,2013,Sports,0.61,1.85,0.11,0.33,2.9
XOne,2014,Shooter,1.84,0.8,0.04,0.22,2.9
XOne,2013,Shooter,1.87,0.77,0,0.22,2.86
PS3,2015,Sports,0.4,1.98,0.05,0.42,2.85
PS4,2015,Fighting,1.47,0.76,0,0.47,2.7
3DS,2014,RPG,0,0,2.68,0,2.68
PS4,2013,Shooter,0.89,1.33,0.07,0.28,2.58
X360,2013,Sports,2.1,0.2,0,0.17,2.47
XOne,2015,Sports,2.07,0.08,0,0.26,2.4
PS4,2015,Racing,0.49,1.49,0.05,0.36,2.39
PS4,2014,Sports,1.46,0.54,0.01,0.37,2.38
Wii,2013,Platform,1.32,0.83,0,0.2,2.34
XOne,2015,Sports,1.93,0.14,0,0.24,2.32
WiiU,2013,Platform,1.27,0.62,0.18,0.16,2.22
XOne,2013,Racing,1.21,0.78,0.01,0.17,2.18
X360,2013,Sports,1.97,0.07,0,0.13,2.18
PS4,2015,Shooter,0.54,1.16,0.13,0.32,2.15
XOne,2014,Sports,0.6,1.41,0,0.14,2.15
PS4,2015,Shooter,0.7,0.93,0.14,0.32,2.09
3DS,2013,RPG,0.89,0.57,0.46,0.13,2.06
PS3,2013,Sports,1.43,0.33,0.04,0.25,2.05
PS3,2013,RPG,0.71,0.83,0.15,0.35,2.05
PS4,2014,Sports,1.53,0.25,0,0.25,2.03
X360,2014,Sports,1.76,0.09,0,0.17,2.02
XOne,2016,Shooter,1.2,0.62,0,0.18,2.01
PS4,2014,Racing,0.35,1.31,0.02,0.33,2
XOne,2013,Shooter,1.25,0.58,0,0.16,1.98
PS4,2014,RPG,0.72,0.86,0.08,0.32,1.97
X360,2013,Shooter,1.22,0.57,0.02,0.15,1.96
X360,2014,Shooter,1.3,0.49,0,0.16,1.95
PS4,2015,Shooter,0.77,0.78,0.04,0.31,1.91
PS4,2013,Racing,0.73,0.91,0.03,0.22,1.89
3DS,2013,RPG,0.21,0.3,1.33,0.04,1.89
3DS,2013,Platform,0.73,0.62,0.4,0.12,1.87
PS4,2014,Platform,0.64,0.92,0.01,0.29,1.86
3DS,2014,Platform,0.61,0.34,0.79,0.09,1.82
PS3,2015,Shooter,0.49,0.96,0.07,0.27,1.79
PS3,2013,Adventure,0.52,0.88,0.06,0.34,1.79
PS3,2013,Sports,1.59,0.03,0,0.15,1.77
PS3,2013,Shooter,0.72,0.69,0.04,0.31,1.76
X360,2015,Shooter,1.11,0.48,0,0.16,1.76
PS3,2013,RPG,0.9,0.37,0.25,0.24,1.75
XOne,2015,Racing,0.69,0.89,0.03,0.14,1.74
PS4,2014,RPG,0.49,0.88,0.06,0.3,1.74
PS3,2014,Shooter,0.67,0.66,0.12,0.27,1.73
PS4,2016,Shooter,0.64,0.68,0.14,0.26,1.73
PS4,2015,Shooter,0.61,0.78,0.06,0.27,1.72
PS4,2015,RPG,0.66,0.78,0,0.28,1.72
PS4,2014,Racing,0.34,1.08,0.03,0.26,1.7
XOne,2014,Sports,1.36,0.18,0,0.15,1.69
X360,2015,Sports,0.55,1.01,0,0.13,1.69
PS4,2013,Platform,0.43,0.67,0.42,0.15,1.67
PC,2013,Strategy,0.82,0.65,0,0.19,1.67
PS4,2015,Adventure,0.44,0.89,0.05,0.25,1.64
X360,2014,Sports,1.33,0.14,0,0.15,1.63
X360,2013,Shooter,0.92,0.53,0.03,0.13,1.61
XOne,2014,Shooter,0.79,0.68,0.01,0.13,1.61
PS4,2014,Shooter,0.47,0.8,0.03,0.29,1.58
PS4,2016,RPG,0.58,0.44,0.33,0.21,1.56
3DS,2015,RPG,0.71,0.22,0.52,0.1,1.54
XOne,2016,Sports,0.17,1.26,0,0.1,1.53
WiiU,2014,Platform,0.73,0.52,0.15,0.12,1.52
XOne,2014,Sports,1.3,0.09,0,0.12,1.51
